131,0.00021,0
133,0.00024,0
120,0.000130,1
134,0.00042,0
135,0.00048,0
137,0.00033,0
138,0.00030,0
139,0.00039,0
141,0.00052,0
125,0.000165,1
142,0.00045,0
143,0.00041,0
144,0.00040,0
145,0.00054,0
146,0.00062,0
147,0.00057,0
148,0.00062,0
149,0.00068,0
150,0.00068,0
151,0.00076,0
152,0.00072,0
128,0.000194,1
153,0.00074,0
154,0.00079,0
155,0.00088,0
156,0.00089,0
157,0.00081,0
158,0.00079,0
159,0.00094,0
160,0.00097,0
100,0.00001,1
101,0.000036,1
102,0.00002,1
108,0.000030,1
132,0.00037,0
110,0.000047,1
111,0.000069,1
113,0.0001,1
136,0.00048,0
115,0.000111,1
116,0.000081,1
118,0.000108,1
140,0.00062,0
119,0.000121,1
120,0.000138,1
121,0.000157,1
144,0.00056,0
123,0.000152,1
124,0.000161,1
126,0.000172,1
148,0.00071,0
127,0.000188,1
128,0.000191,1
103,0.000038,1
152,0.00082,0
104,0.000041,1
106,0.000043,1
129,0.000198,1
156,0.00099,0
130,0.00017,1
115,0.00083,0
155,0.000124,0

